queue,folder,url,id,type,pageUpdated
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/human-capital-management/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/human-capital-management/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/human-capital-management/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/human-capital/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/human-capital/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/human-capital/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/human-capital/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/manufacturing-management/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/manufacturing-management/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/jd-edwards-enterpriseone/manufacturing-management/,RC11v1,a11y-true,false
